Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.10,104.35,1.77,49.79
5.27,102.17,1.59,57.92
6.23,94.08,1.71,46.81
7.23,111.03,2.73,60.70
8.20,112.43,1.84,54.27
9.20,106.66,1.32,50.38
10.27,97.18,1.24,53.64
11.30,97.05,1.38,58.56
12.33,106.96,1.32,54.11
13.37,110.56,1.46,53.17
14.43,102.44,2.65,76.06
15.43,102.86,2.12,64.10
16.47,100.00,3.03,55.43
17.50,108.00,3.92,58.68
18.53,103.26,2.69,55.41
19.50,107.06,1.82,60.68
20.50,97.23,1.52,62.70
21.57,103.74,1.88,61.33
22.60,105.88,2.91,80.80
23.63,99.76,1.23,64.71
24.63,107.38,2.70,52.80
25.63,109.38,2.68,63.89
26.60,104.91,1.57,65.02
27.67,104.50,1.58,59.99
28.67,103.19,1.22,60.28
29.63,97.69,0.96,61.25
30.57,106.14,1.27,69.34
31.57,108.50,1.39,71.59
