Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.10,105.24,1.77,49.79
5.24,110.60,1.59,57.92
6.21,111.89,1.71,46.81
7.21,105.40,2.73,60.70
8.21,99.81,1.84,54.27
9.18,108.55,1.32,50.38
10.18,97.88,1.24,53.64
11.18,100.55,1.38,58.56
12.18,99.60,1.32,54.11
13.18,102.65,1.46,53.17
14.15,106.10,2.65,76.06
15.15,98.62,2.12,64.10
16.12,105.45,3.03,55.43
17.08,104.93,3.92,58.68
18.08,111.27,2.69,55.41
19.05,111.31,1.82,60.68
20.02,106.96,1.52,62.70
21.02,104.21,1.88,61.33
22.06,104.84,2.91,80.80
22.99,101.95,1.23,64.71
24.02,104.56,2.70,52.80
25.06,103.28,2.68,63.89
26.03,101.10,1.57,65.02
27.03,100.03,1.58,59.99
28.03,98.14,1.22,60.28
29.03,102.34,0.96,61.25
30.03,101.17,1.27,69.34
31.03,101.48,1.39,71.59
32.07,107.56,1.10,67.42
33.07,106.45,1.72,61.20
34.07,106.64,1.74,60.96
35.07,105.61,1.23,60.44
36.07,103.58,1.91,64.29
37.07,103.11,2.61,50.79
